market,time,coin_metrics_id,amount,price,database_time,side
coinbase-btc-usd-spot,2022-03-07T04:59:34.520698000Z,292408051,0.02631117,37949.74,2022-03-07T04:59:34.653630000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:35.674044000Z,292408052,0.00053773,37949.75,2022-03-07T04:59:35.903612000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:35.768213000Z,292408053,0.00005051,37949.75,2022-03-07T04:59:35.903612000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:35.847564000Z,292408054,0.03479463,37949.75,2022-03-07T04:59:35.958356000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:35.952323000Z,292408055,0.00830283,37946.95,2022-03-07T04:59:36.153729000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:36.122525000Z,292408056,0.01143,37946.22,2022-03-07T04:59:36.209123000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:36.122683000Z,292408057,0.00000936,37946.22,2022-03-07T04:59:36.209123000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:36.156823000Z,292408058,0.00178309,37947.1,2022-03-07T04:59:36.403917000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:36.260952000Z,292408059,0.0014,37946.63,2022-03-07T04:59:36.403917000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:36.590778000Z,292408060,0.00023649,37943.63,2022-03-07T04:59:36.659346000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:36.661523000Z,292408061,0.00300466,37941.85,2022-03-07T04:59:36.904099000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:36.661523000Z,292408062,0.00018015,37941.85,2022-03-07T04:59:36.904099000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:36.661523000Z,292408063,0.00300466,37941.84,2022-03-07T04:59:36.904099000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:37.445436000Z,292408064,0.00230707,37939.36,2022-03-07T04:59:37.654399000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:37.665382000Z,292408065,0.001,37944.28,2022-03-07T04:59:37.904621000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:37.665382000Z,292408066,0.01160796,37944.28,2022-03-07T04:59:37.904621000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:37.692417000Z,292408067,0.00110158,37944.28,2022-03-07T04:59:37.904621000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:38.582276000Z,292408068,0.00312106,37946.08,2022-03-07T04:59:38.655085000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:38.582276000Z,292408069,0.001,37946.63,2022-03-07T04:59:38.655085000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:38.582276000Z,292408070,0.01472324,37947.3,2022-03-07T04:59:38.655085000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:38.582276000Z,292408071,0.0311557,37947.4,2022-03-07T04:59:38.655085000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:38.687532000Z,292408072,0.0000205,37947.54,2022-03-07T04:59:38.905332000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:38.972727000Z,292408073,0.18413965,37946.95,2022-03-07T04:59:39.155162000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:40.503610000Z,292408074,0.00523073,37946.56,2022-03-07T04:59:40.655895000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:41.231231000Z,292408075,0.00055061,37946.85,2022-03-07T04:59:41.406468000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:41.592694000Z,292408076,0.0000205,37946.84,2022-03-07T04:59:41.712583000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:43.397721000Z,292408077,0.00073441,37946.73,2022-03-07T04:59:43.463667000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:43.436801000Z,292408078,0.00023626,37946.73,2022-03-07T04:59:43.657309000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:44.743563000Z,292408079,0.00010579,37946.13,2022-03-07T04:59:44.894045000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:45.714034000Z,292408080,0.00578716,37946.81,2022-03-07T04:59:45.908088000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.338993000Z,292408081,0.001,37946.8,2022-03-07T04:59:46.408926000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.338993000Z,292408082,0.04536284,37946.81,2022-03-07T04:59:46.466599000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.338993000Z,292408083,0.00291,37946.95,2022-03-07T04:59:46.466599000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.338993000Z,292408084,0.0002,37947.52,2022-03-07T04:59:46.466599000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.446546000Z,292408085,0.00230017,37949.71,2022-03-07T04:59:46.659102000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:46.480750000Z,292408086,0.001,37949.72,2022-03-07T04:59:46.659102000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.480750000Z,292408087,0.001,37949.73,2022-03-07T04:59:46.659102000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.480750000Z,292408088,0.001,37949.75,2022-03-07T04:59:46.659102000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.585354000Z,292408089,0.001,37952.6,2022-03-07T04:59:46.659102000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.585354000Z,292408090,0.02944319,37952.61,2022-03-07T04:59:46.659102000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:46.637651000Z,292408091,0.00144,37950.5,2022-03-07T04:59:46.717720000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:46.651774000Z,292408092,0.00000069,37950.5,2022-03-07T04:59:46.717720000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:46.896179000Z,292408093,0.02283738,37948.84,2022-03-07T04:59:46.966350000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.371493000Z,292408094,0.00360537,37946.84,2022-03-07T04:59:47.467711000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.371493000Z,292408095,0.00100848,37946.84,2022-03-07T04:59:47.467711000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.371493000Z,292408096,0.00360537,37946.83,2022-03-07T04:59:47.467711000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.371493000Z,292408097,0.00360537,37946.81,2022-03-07T04:59:47.467711000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.371493000Z,292408098,0.02283738,37946.8,2022-03-07T04:59:47.467711000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.371493000Z,292408099,0.01914732,37944.39,2022-03-07T04:59:47.467711000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.654375000Z,292408100,0.00012923,37948.57,2022-03-07T04:59:47.909491000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:47.958534000Z,292408101,0.001,37944.43,2022-03-07T04:59:48.103591000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.958534000Z,292408102,0.001,37944.43,2022-03-07T04:59:48.103591000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:47.958534000Z,292408103,0.001,37944.42,2022-03-07T04:59:48.103591000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:48.005186000Z,292408104,0.001,37944.42,2022-03-07T04:59:48.159901000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:48.018100000Z,292408105,0.001,37944.41,2022-03-07T04:59:48.159901000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:48.045692000Z,292408106,0.001,37944.42,2022-03-07T04:59:48.159901000Z,sell
coinbase-btc-usd-spot,2022-03-07T04:59:48.287078000Z,292408107,0.00215529,37945.22,2022-03-07T04:59:48.409848000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:48.287078000Z,292408108,0.00430394,37945.23,2022-03-07T04:59:48.409848000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:48.455902000Z,292408109,0.00150871,37945.23,2022-03-07T04:59:48.659670000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:48.455902000Z,292408110,0.00103485,37945.24,2022-03-07T04:59:48.659670000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:50.178897000Z,292408111,0.00105609,37945.05,2022-03-07T04:59:50.410594000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:50.178897000Z,292408112,0.00253946,37945.06,2022-03-07T04:59:50.410594000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:50.178897000Z,292408113,0.00144586,37945.08,2022-03-07T04:59:50.410594000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:50.873457000Z,292408114,0.00524996,37943.74,2022-03-07T04:59:50.968610000Z,buy
coinbase-btc-usd-spot,2022-03-07T04:59:51.159113000Z,292408115,0.00048054,37943.74,2022-03-07T04:59:51.357440000Z,buy
