market,time,coin_metrics_id,amount,price,database_time,side
coinbase-btc-usd-spot,2022-03-07T05:11:46.154158000Z,292410491,0.001,37870.96,2022-03-07T05:11:46.258403000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:46.154158000Z,292410492,0.001,37870.97,2022-03-07T05:11:46.258403000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:46.154158000Z,292410493,0.001,37870.99,2022-03-07T05:11:46.258403000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:46.154158000Z,292410494,0.00069979,37871,2022-03-07T05:11:46.258403000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:46.371688000Z,292410495,0.001,37870.99,2022-03-07T05:11:46.507747000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:46.371688000Z,292410496,0.00030021,37871,2022-03-07T05:11:46.507747000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:46.371688000Z,292410497,0.001,37871.01,2022-03-07T05:11:46.507747000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:46.371688000Z,292410498,0.00022386,37871.09,2022-03-07T05:11:46.507747000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:46.682236000Z,292410499,0.0011302,37869.88,2022-03-07T05:11:46.758156000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:47.054654000Z,292410500,0.002039,37867.77,2022-03-07T05:11:47.140947000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:47.814887000Z,292410501,0.00185498,37867.87,2022-03-07T05:11:47.891180000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:47.917827000Z,292410502,0.00129849,37866.72,2022-03-07T05:11:48.008890000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:47.917827000Z,292410503,0.00548925,37866.71,2022-03-07T05:11:48.008890000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.235357000Z,292410504,0.001,37860.12,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410505,0.00260414,37860.1,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410506,0.001,37860.1,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410507,0.00260414,37860.04,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410508,0.00260414,37860.03,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410509,0.00260414,37860.01,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410510,0.00262625,37860,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410511,0.02128227,37858.57,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410512,0.00196947,37858.2,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.246210000Z,292410513,0.00797477,37858.14,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.257789000Z,292410514,0.001,37860.11,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.287782000Z,292410515,0.001,37860.12,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.297927000Z,292410516,0.001,37858.58,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.297927000Z,292410517,0.001,37857.61,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.297927000Z,292410518,0.29247108,37857.6,2022-03-07T05:11:48.394336000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.412502000Z,292410519,0.00398916,37855.54,2022-03-07T05:11:48.510231000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:48.879315000Z,292410520,0.00342082,37857.23,2022-03-07T05:11:49.009274000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:48.879315000Z,292410521,0.00342082,37857.24,2022-03-07T05:11:49.009274000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:48.879315000Z,292410522,0.00199106,37857.25,2022-03-07T05:11:49.009274000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:48.879315000Z,292410523,0.0041243,37857.26,2022-03-07T05:11:49.009274000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:51.949313000Z,292410524,0.00130822,37854.91,2022-03-07T05:11:52.145620000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:52.644651000Z,292410525,0.00139374,37854.87,2022-03-07T05:11:52.761918000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:52.644651000Z,292410526,0.001,37854.88,2022-03-07T05:11:52.761918000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:52.644651000Z,292410527,0.00013251,37854.89,2022-03-07T05:11:52.761918000Z,buy
coinbase-btc-usd-spot,2022-03-07T05:11:53.554872000Z,292410528,0.00102438,37854.54,2022-03-07T05:11:53.646188000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:53.554872000Z,292410529,0.00883936,37854.53,2022-03-07T05:11:53.646188000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:53.554872000Z,292410530,0.00102438,37854.5,2022-03-07T05:11:53.646188000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:53.554872000Z,292410531,0.00102438,37854.4,2022-03-07T05:11:53.646188000Z,sell
coinbase-btc-usd-spot,2022-03-07T05:11:53.554872000Z,292410532,0.00072575,37854.29,2022-03-07T05:11:53.646188000Z,sell
