market,time,coin_metrics_id,amount,price,database_time,side
coinbase-btc-usd-spot,2022-03-07T01:33:05.801689000Z,292334425,0.000648,38534.18,2022-03-07T01:33:05.919440000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:05.957105000Z,292334426,0.00458,38539.79,2022-03-07T01:33:06.032322000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:06.566950000Z,292334427,0.00002544,38541.83,2022-03-07T01:33:06.669892000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:06.660245000Z,292334428,0.002088,38541.83,2022-03-07T01:33:06.742611000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:06.672844000Z,292334429,0.001655,38541.83,2022-03-07T01:33:06.742611000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:06.972132000Z,292334430,0.00111919,38541.02,2022-03-07T01:33:07.056094000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:06.972132000Z,292334431,0.01242482,38541.66,2022-03-07T01:33:07.056094000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:07.113484000Z,292334432,0.02291918,38541.66,2022-03-07T01:33:07.242847000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:07.113484000Z,292334433,0.00001522,38541.8,2022-03-07T01:33:07.242847000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:07.535633000Z,292334434,0.00214208,38538.17,2022-03-07T01:33:07.670528000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:07.535633000Z,292334435,0.001,38538.16,2022-03-07T01:33:07.670528000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:07.535633000Z,292334436,0.001,38538.15,2022-03-07T01:33:07.670528000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:07.535633000Z,292334437,0.00214208,38538.14,2022-03-07T01:33:07.670528000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:07.535633000Z,292334438,0.001,38538.03,2022-03-07T01:33:07.670528000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:07.535633000Z,292334439,0.0000466,38538.03,2022-03-07T01:33:07.670528000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:08.127665000Z,292334440,0.001,38541.81,2022-03-07T01:33:08.243045000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:08.625687000Z,292334441,0.00098176,38540.12,2022-03-07T01:33:08.743429000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:08.991846000Z,292334442,0.00071634,38540.1,2022-03-07T01:33:09.171430000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:09.621097000Z,292334443,0.00025822,38539.11,2022-03-07T01:33:09.743643000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:09.821999000Z,292334444,0.001,38539.64,2022-03-07T01:33:09.921706000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:09.821999000Z,292334445,0.00150515,38539.77,2022-03-07T01:33:09.921706000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:10.320599000Z,292334446,0.00048594,38539.77,2022-03-07T01:33:10.422031000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:10.320599000Z,292334447,0.00137313,38539.77,2022-03-07T01:33:10.422031000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:10.400327000Z,292334448,0.01116653,38538.68,2022-03-07T01:33:10.494115000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:10.400327000Z,292334449,0.00172974,38538.35,2022-03-07T01:33:10.494115000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:10.400327000Z,292334450,0.00172974,38537.88,2022-03-07T01:33:10.494115000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:10.400327000Z,292334451,0.02305196,38536.71,2022-03-07T01:33:10.494115000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:10.400327000Z,292334452,0.36232203,38536.7,2022-03-07T01:33:10.494115000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:10.446612000Z,292334453,0.001,38538.7,2022-03-07T01:33:10.536656000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:10.446612000Z,292334454,0.00172974,38538.69,2022-03-07T01:33:10.536656000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:10.643311000Z,292334455,0.00212702,38539.04,2022-03-07T01:33:10.744335000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:10.643311000Z,292334456,0.00045524,38539.15,2022-03-07T01:33:10.744335000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:10.776083000Z,292334457,0.00440007,38539.04,2022-03-07T01:33:10.922223000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:10.776083000Z,292334458,0.0041871,38539.05,2022-03-07T01:33:10.922223000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:10.776083000Z,292334459,0.00413177,38539.12,2022-03-07T01:33:10.922223000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:10.918581000Z,292334460,0.00692639,38537.26,2022-03-07T01:33:10.994597000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:10.941625000Z,292334461,0.00236785,38537.13,2022-03-07T01:33:11.035897000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:11.000315000Z,292334462,0.00166207,38539.01,2022-03-07T01:33:11.172355000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.000315000Z,292334463,0.00486784,38539.02,2022-03-07T01:33:11.172355000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.000315000Z,292334464,0.00092607,38539.03,2022-03-07T01:33:11.172355000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.056037000Z,292334465,0.00608801,38539,2022-03-07T01:33:11.172355000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.176065000Z,292334466,0.00543797,38539,2022-03-07T01:33:11.245046000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.176065000Z,292334467,0.0048146,38539.31,2022-03-07T01:33:11.245046000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.176065000Z,292334468,0.00476136,38539.32,2022-03-07T01:33:11.245046000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.176065000Z,292334469,0.035344,38539.65,2022-03-07T01:33:11.245046000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.176065000Z,292334470,0.00019013,38539.78,2022-03-07T01:33:11.245046000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.176065000Z,292334471,0.01821392,38541.84,2022-03-07T01:33:11.287003000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.176065000Z,292334472,0.01039814,38545.62,2022-03-07T01:33:11.287003000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.176065000Z,292334473,0.00711291,38545.92,2022-03-07T01:33:11.287003000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.497273000Z,292334474,0.00003169,38539,2022-03-07T01:33:11.672333000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.497273000Z,292334475,0.00369302,38544.52,2022-03-07T01:33:11.672333000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:11.663913000Z,292334476,0.00034134,38536.83,2022-03-07T01:33:11.744811000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:13.534794000Z,292334477,0.00010357,38541.22,2022-03-07T01:33:13.673828000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:13.968162000Z,292334478,0.0000539,38541.15,2022-03-07T01:33:14.038060000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:14.065665000Z,292334479,0.0127557,38537.84,2022-03-07T01:33:14.174219000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:14.341204000Z,292334480,0.00044593,38535.71,2022-03-07T01:33:14.424530000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:14.400188000Z,292334481,0.00023266,38538.88,2022-03-07T01:33:14.496111000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:14.755349000Z,292334482,0.00148892,38538.67,2022-03-07T01:33:14.924815000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:14.755349000Z,292334483,0.0008705,38538.67,2022-03-07T01:33:14.924815000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:14.755349000Z,292334484,0.02464058,38538.68,2022-03-07T01:33:14.924815000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:14.771987000Z,292334485,0.00379711,38538.68,2022-03-07T01:33:14.924815000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:14.780939000Z,292334486,0.00104224,38538.67,2022-03-07T01:33:14.924815000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:14.780939000Z,292334487,0.00146291,38538.85,2022-03-07T01:33:14.924815000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:14.805778000Z,292334488,0.00358342,38536.39,2022-03-07T01:33:14.924815000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:14.805778000Z,292334489,0.00421708,38536.04,2022-03-07T01:33:14.924815000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:14.849877000Z,292334490,0.0020229,38535.52,2022-03-07T01:33:14.924815000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:14.883077000Z,292334491,0.05,38533.73,2022-03-07T01:33:14.997055000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:14.930130000Z,292334492,0.38807,38532.24,2022-03-07T01:33:14.997055000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:14.945610000Z,292334493,0.14691804,38533.97,2022-03-07T01:33:15.041404000Z,sell
coinbase-btc-usd-spot,2022-03-07T01:33:14.975262000Z,292334494,0.00128987,38532.2,2022-03-07T01:33:15.175011000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:15.444396000Z,292334495,0.00508738,38522.94,2022-03-07T01:33:15.540306000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:16.236600000Z,292334496,0.00129533,38522.94,2022-03-07T01:33:16.323204000Z,buy
coinbase-btc-usd-spot,2022-03-07T01:33:16.329806000Z,292334497,0.0017166,38522.93,2022-03-07T01:33:16.425875000Z,sell
